model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std
Dummy,0.8363888888888888,0.0005555555555555536,0.0,0.0,0.0,0.0,0.0,0.0,0.1636111111111111,0.0005555555555555536
LR_default,0.8541666666666666,0.00633430791721744,0.7135079365079365,0.0887163915832385,0.19521946979574098,0.031551798653614765,0.30316341610873504,0.03425358231011896,0.4656128557125611,0.01583485414785303
LR_balanced,0.7074999999999999,0.015330716362829577,0.3209128222592047,0.015106956279655621,0.7028103723018977,0.024418637995340123,0.44042035853671696,0.016560116500280556,0.462957020361417,0.016347617444554305
DT_depth5,0.8572222222222221,0.0064190111157174405,0.6444470755480157,0.03844503212796677,0.28518035636679706,0.044748080822324,0.393518687643423,0.04453786681221919,0.44962751903135667,0.027493213614467268
RF_default,0.861111111111111,0.0047303851016462445,0.7340649001536097,0.042748585699442156,0.23940315804722584,0.034579122960722304,0.3592566475880867,0.03942587457724543,0.5136815308797279,0.033541094176898066
RF_balanced,0.8086111111111112,0.017019415202267085,0.4267157817328897,0.03556443387276535,0.4720121686223382,0.015512862973761744,0.44751253482942055,0.024178894903783884,0.47073172876775093,0.039853730970964674
